         m,          n,  k,runtime (s),  MP/second
       512,        512,  3,      0.002,    162.925
       512,        512,  5,      0.003,     79.200
       512,        512,  7,      0.006,     43.631
       512,        512,  9,      0.010,     26.504
       512,        512, 11,      0.021,     12.548
       512,        512, 13,      0.021,     12.358
       512,        512, 15,      0.028,      9.370
      1024,       1024,  3,      0.005,    193.000
      1024,       1024,  5,      0.011,     99.116
      1024,       1024,  7,      0.020,     52.967
      1024,       1024,  9,      0.033,     31.686
      1024,       1024, 11,      0.051,     20.448
      1024,       1024, 13,      0.074,     14.084
      1024,       1024, 15,      0.098,     10.668
      2048,       2048,  3,      0.017,    245.990
      2048,       2048,  5,      0.040,    104.732
      2048,       2048,  7,      0.071,     59.111
      2048,       2048,  9,      0.120,     35.013
      2048,       2048, 11,      0.189,     22.183
      2048,       2048, 13,      0.263,     15.975
      2048,       2048, 15,      0.355,     11.829
      4096,       4096,  3,      0.064,    263.716
      4096,       4096,  5,      0.146,    114.778
      4096,       4096,  7,      0.286,     58.602
      4096,       4096,  9,      0.470,     35.719
      4096,       4096, 11,      0.736,     22.801
      4096,       4096, 13,      1.031,     16.268
      4096,       4096, 15,      1.383,     12.129
      8192,       8192,  3,      0.251,    266.943
      8192,       8192,  5,      0.599,    111.996
      8192,       8192,  7,      1.142,     58.774
      8192,       8192,  9,      1.885,     35.596
      8192,       8192, 11,      2.933,     22.884
      8192,       8192, 13,      4.109,     16.332
      8192,       8192, 15,      5.454,     12.305
     16384,      16384,  3,      1.077,    249.358
     16384,      16384,  5,      2.640,    101.671
     16384,      16384,  7,      4.739,     56.646
     16384,      16384,  9,      7.564,     35.487
     16384,      16384, 11,     11.742,     22.862
     16384,      16384, 13,     16.467,     16.302
     16384,      16384, 15,     21.892,     12.262
     32768,      32768,  3,      5.214,    205.919
     32768,      32768,  5,     11.195,     95.914
     32768,      32768,  7,     19.663,     54.607
     32768,      32768,  9,     31.409,     34.186
     32768,      32768, 11,     48.187,     22.283
     32768,      32768, 13,     65.803,     16.317
     32768,      32768, 15,     86.855,     12.362
